model,role,core_pr,layer,strength,seed,intervention,stage,prompt,domain,correct
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 144 / 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 13 * 7? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.08,23,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 100 - 37? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 144 / 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 13 * 7? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.08,37,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 100 - 37? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 144 / 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 13 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.1,11,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 7 * 8? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 100 - 37? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 144 / 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 13 * 7? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.1,23,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 100 - 37? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 144 / 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 13 * 7? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.1,37,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 100 - 37? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 144 / 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 256 / 16? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 13 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,What is 14 * 6? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.14,11,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 7 * 8? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 15 + 27? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 100 - 37? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 144 / 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 200 - 85? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 13 * 7? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 88 + 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.14,23,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 100 - 37? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 144 / 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 13 * 7? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,3,0.14,37,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 15 + 27? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 100 - 37? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 144 / 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 23 + 19? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 11 * 11? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 6 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 50 + 50? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 200 - 85? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 96 / 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 13 * 7? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 88 + 12? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 225 / 15? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,What is 14 * 6? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The capital of Japan is,factual,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,Water freezes at 0 degrees,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The chemical symbol for gold is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The largest planet in our solar system is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,"The speed of light is approximately 300,000 km per",factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,DNA stands for deoxyribonucleic,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The square root of 144 is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The atomic number of carbon is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The capital of France is,factual,0
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The chemical formula for water is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The tallest mountain in the world is Mount,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The first element on the periodic table is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The number of continents on Earth is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The chemical symbol for silver is,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The boiling point of water is 100 degrees,factual,1
Gemma2-2B,base,2.53,7,0.05,11,expand,A,The planet closest to the Sun is,factual,1
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 7 * 8? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 15 + 27? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 100 - 37? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 144 / 12? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 9 * 9? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 23 + 19? Answer with just the number:,math,1
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 256 / 16? Answer with just the number:,math,0
Gemma2-2B,base,2.53,7,0.05,23,expand,A,What is 11 * 11? Answer with just the number:,math,0
